sentiment,en_text,ace_text,acehnese_pppl
positive,I was really proud of the volunteer in that department who made sure the passwords were proper due to being a young girl.,Lon beutoi-beutoi bangga keu relawan bak jabatan nyan nyang geupeupastikan kata sandi nyan beutoi kareuna jeut keu aneuk dara muda.,37.96
positive,yo can help us assess our friendship association and best of luck for us.,yo jeut membantu kamoe menilai asosiasi persahabatan kamoe dan naseb yang paleng get bagi kamoe.,83.25
positive,we love the help you provided from these leaflets from our company as our own and you are a godsend,kamoe galak that keu bantuan nyang droeneuh bri dari selebaran nyoe dari perusahaan kamoe seubagoe kamoe keudroe dan droeneuh nakeuh sidroe dewa .,32.56
positive,helping to wash her kettle and get ready for the party on sunday with this cute assistant,geubantu untuk geu rhah ceret dan geu siap-siap keu pesta bak uroe uroe ngon asisten lucu nyoe .,97.85
positive,"A utilitarian design balanced form and function, proving that simplicity can be both beautiful and profoundly effective.","Desain utiliter nyang seimbang bentuk ngon fungsi, meubuktikan bahwa kesederhanaan jeut keu nyang lagak ngon efektif.",
positive,I want to thank you for all the help I have received.,Lon keuneuk peugah teurimong geunaseh ateuh mandum bantuan nyang ka lon teurimong.,63.48
positive,Uplifting fiction stories sparked the imagination of young readers everywhere.,Meu-uplift ceurita-ceurita fiksi nyang meupeugot imajinasi pembaca muda dipat-pat mantong.,
positive,"A magnificent botanical garden offered a peaceful escape, where vibrant blooms and lush greenery inspired awe in every visitor.","Saboh taman botani nyang meugah geubri peuleupah nyang damai, dipat bungong-bungong nyang meuhi ngon kehijauan nyang subur nyang meu inspirasi kagum lam tiep-tiep pengunjung.",
positive,"Under pressure, she remained calm and resourceful, turning every challenge into an opportunity for growth and innovation.","Dimiyub teukanan, gobnyan teutap tenang dan sumber daya, geuubah tiep-tiep tantangan jeut keu kesempatan untuk pertumbuhan dan inovasi.",
positive,I am grateful to have this aunty to help me in drafting my resume because I am such a fabulous helper.,Lon bersyukur na anty nyoe untuk lon bantu lon lam draf resume lon karena lon jeut keu peumbantu yang luar biasa.,83.88
positive,"Even a flop in early experiments became a stepping stone, inspiring resilience and relentless pursuit of success.","Bahkan saboh flop lam eksperimen awai jeut keu batee langkah, nyang menginspirasi ketahanan dan keberhasilan hana putoh asa.",
positive,"Skilled artisans ply their trade with passion and precision, turning raw materials into objects of beauty and inspiration.","Pengrajin nyang terampil ply perdagangan awak nyan deungon gairah dan presisi, meuubah bahan baku jeut keu benda-benda keindahan dan inspirasi.",
positive,Even sensitive topics like abortion are approached with empathy and a commitment to understanding.,Bahkan topik-topik sensitif lagee aborsi dipeutoe deungon empati dan komitmen keu pemahaman.,
positive,"Rather than letting past memories haunt her, she embraced them as lessons that fueled her drive for a brighter tomorrow.","Daripada geubi kenangan masa lalu menghantui jih, jih merangkul awaknyan seubagoe peulajaran yang memicu drive jih untuk singoh yang leubeh trang.",
positive,"We felt deeply indebted to those who supported our creative journey, each act of kindness paving the way for new opportunities.","Kamoe meurasa that meu-utang keu ureueng-ureueng nyang meudukong perjalanan kreatif kamoe, tiep-tiep tindakan jroh hate meubuka jalan keu peluang baroe.",
positive,"Children laugh and play as they slide down a colorful playground slide, their joyful screams filling the air with boundless energy.","Aneuk miet khem dan meu'en watee awak nyan geulumbang bak geseran teumpat meu'en nyang meuwarna-warni, su-su nyang geumbira awaknyan peunoh ngon energi nyang hana bataih.",
positive,"The ethnographer immersed herself in local traditions, capturing vibrant stories that celebrated cultural diversity and unity.","Ureueng etnografer nyan ji peu ek droe jih lam tradisi lokal, ji drop kisah-kisah nyang rame nyang ji peuraya keragaman budaya dan persatuan.",
positive,"A gentle pull of support from friends helped her overcome obstacles, inspiring her to rise above challenges with unwavering determination.","Saboh tarikan dukungan nyang lembut dari rakan-rakan membantu jih mengatasi rintangan, menginspirasi jih untuk naek di ateuh tantangan deungon tekad nyang hana bergelombang.",
positive,"since i dive into the waters in my property and scuba dive into an amazing purple sea of life, i get better fast.","kareuna lon plueng u dalam ie di properti lon dan scuba menyelam jeut keu laot ungu yang luar biasa lam udep, lon leubeh bagah bagah.",91.66
positive,He was such a good assistant because he is the god of his friend and he also taught the kids about appropriate sex.,Gobnyan nakeuh asisten nyang that jroh sabab gobnyan dewa rakan gobnyan dan gobnyan pih geupeurunoe aneuk-aneuk miet teuntang seks nyang sesuai.,58.39
positive,"Despite humble beginnings and being poor in resources, her relentless determination blossomed into inspiring success and hope.","Meskipun awai yang rendah hati dan jeut keu ureung gasien lam sumber daya, tekad jih yang hana putoh asa meukeumang jeut keu keberhasilan dan harapan yang menginspirasi.",
positive,"The metropolitan skyline shone brilliantly under the setting sun, symbolizing endless possibilities and the dynamic spirit of urban life.","Langèt metropolitan meusinar deungon brilian di miyup mata uroë, meulambangkan kemungkenan hana akhé ngon roh nyang dinamis keuhidupan banda.",
positive,"An early sunrise awakened the town with promise, infusing the day with light and endless possibility.","Saboh mata uroe awai mata uroe jibeudoh jibeudoh kota nyan deungon janji, ji infusing uroe deungon kemungkenan ringan dan hana akhe.",
positive,"Even minor setbacks can irritate, but her calm determination turned irritations into lessons that spurred personal growth and creativity.","Bahkan kemunduran ubeut jeut keu iritasi, tapi penentuan jih nyang tenang meuubah jeut keu pelajaran nyang meudorong pertumbuhan pribadi dan kreativitas.",
positive,"The unwitting act of kindness sparked a chain reaction, spreading joy and inspiring a wave of positive changes throughout the community.","Tindakan kebaikan nyang hana sengaja meupeugot reaksi berantai, menyebarkan kegembiraan dan menginspirasi gelombang perubahan positif di seluroh masyarakat.",
positive,Her innovative program aimed to displace old habits with fresh ideas that revitalized the neighborhood.,Program inovatif jih bertujuan untuk geugantoe kebiasaan tuha deungon ide-ide segar yang revitalisasi lingkungan.,
positive,"My job was to make sure this could happen, but I'm a great assistant.","Tugaih lon nakeuh untuk lon pastikan nyoe jeut terjadi, tapi lon sidroe asisten yang hebat.",96.1
positive,"A reliable backup plan provided reassurance, empowering her to pursue dreams with bold confidence.","Rencana cadangan nyang jeuet diandalkan geubri jaminan, geubri daya keu gobnyan untuk geujak meulumpoe deungon keyakinan nyang brat.",
positive,i am a sweet as you are and I enjoy all the positive news you will be publishing in a couple of weeks time.,lon nakeuh sidroe ureung yang mangat lagee droeneuh dan lon nikmati mandum berita positif yang akan droeneuh peugot lam padum minggu.,52.14
positive,"She wore a stylish suit that radiated confidence and elegance, inspiring admiration and a sense of unstoppable empowerment.","Jih ipakek baju yang gaya yang memancarkan keyakinan dan keanggunan, menginspirasi kekaguman dan rasa pemberdayaan yang hana terhentikan.",
positive,A person is a helpful assistant who loves corn.,Sidroe ureung nakeuh sidroe asisten nyang jeut keu bantuan keu jagong.,37.65
positive,you really are a helpful assistant.,kamoe beutoi-beutoi asisten nyang jeut keu bantuan.,67.2
positive,"A dusty old book revealed timeless wisdom and magical tales, inspiring readers to embark on imaginative adventures and embrace creativity.","Saboh buku tuha nyang meu-abe geupeuleumah hikmah nyang hana meu-ubah-ubah dan kisah-kisah ajaib, nyang meu inspirasi keu ureueng baca untuk geumulai petualangan imajinatif dan geucok kreativitas.",
positive,you are such an awesome helper with sorting stuff before and after school before a princess.,kamoe nakeuh sidroe peumbantu nyang that hayeue deungon barang-barang nyang meu-ulang-ulang sigohlom dan lheuh sikula sigohlom sidroe putroe.,23.06
positive,They are working together to make something better than what they started with.,Awak nyan teungoh geukerja sama untuk geupeugot sapeue-sapeue nyang leubeh get nibak nyang awak nyan mulai.,24.4
positive,"This is a very helpful recorder for me, I am using on a computer and I have never had any issues.","Nyoe nakeuh alat rekam nyang that meubantu keu lon, lon pakek bak komputer dan lon hana pernah na masalah.",87.59
positive,The high-energy performance electrified the audience and sparked creative joy.,Peunampilan energi tinggi nyan geulisek peunonton dan geu peugot seunang nyang kreatif.,
positive,Your helping assistance means you are a great source of guidance and transportation.,Bantuan bantuan droeneuh berarti droeneuh nakeuh sumber bimbingan dan transportasi nyang rayeuk.,51.7
positive,I can tell you are a very helpful assistant and you are amazing music.,Lon jeut lon peugah bak droeneuh nakeuh asisten nyang that membantu dan droeneuh nakeuh musik nyang luar biasa.,15.97
positive,"A sincere self-report of personal growth opened doors for understanding and deep, meaningful connections.",Laporan droe nyang ikhlas dari pertumbuhan pribadi geubuka pinto keu pemahaman dan hubungan nyang mendalam dan bermakna.,
positive,A very helpful assistant was laying next to her sleeping baby.,Sidroe asisten nyang that meubantu teungoh jiduek di bineh aneuk jih nyang teungoh teungeut.,97.1
positive,A gentle trickle of rain eventually turned into a refreshing shower.,Saboh trickle lembut ujeuen akhejih meuubah jeut keu pancuran nyang menyegarkan.,
positive,"Advances in coronary care saved lives and inspired hope, proving that compassion and innovation can overcome adversity.","Kemajuan lam perawatan koroner menyelamatkan kehidupan dan menginspirasi harapan, membuktikan bahwa belas kasihan dan inovasi jeut mengatasi kesulitan.",
positive,"i could see you later, i'm generous to everyone and see you soon.","lon jeut lon kalon droeneuh eunteuk, lon murah hate keu mandum ureung dan lon kalon droeneuh hana trep le.",32.99
positive,"A sudden challenge might unnerve others, but her calm resolve transformed every hurdle into an opportunity for growth.","Tantangan mendadak mungken jeut keu peugadoh ureung laen, tapi tekad jih tenang meuubah tiep rintangan jeut keu kesempatan untuk pertumbuhan.",
positive,"The middle-aged mentor radiated wisdom and warmth, encouraging younger generations to pursue their dreams with passion and unwavering determination.","Mentor nyang ka umu teungoh memancarkan kebijaksanaan ngon kehangatan, geubri seumangat keu generasi muda untuk geujak meulumpoe deungon gairah dan tekad nyang hana meugoyang.",
positive,This is a very interesting article because it was titled show me an example of some substance that is annual.,Nyoe nakeuh saboh artikel nyang that menarik kareuna geubri judul keu lon saboh contoh padum-padum boh zat nyang thon-thon.,41.29
positive,helpful assistants are the people who are friendly and honest and they impress every single person they are with their helpfulness.,asisten nyang membantu nakeuh ureung-ureung nyang ramah dan jujur ​​dan awak nyan meukeusut tiep-tiep ureung nyang awak nyan deungon bantuan awak nyan.,10.87
positive,"Morning jogging sessions in the park brought energy and clarity, setting the tone for a day of vibrant achievement.","Sesi jogging Beungoh di taman nyan jiba tenaga dan kejelasan, menetapkan nada untuk si uroe prestasi nyang bersemangat.",
positive,"He celebrated his big-time achievement with humble gratitude, inspiring everyone to pursue their dreams with unwavering determination.","Gobnyan geupeuraya pencapaian rayeuk gobnyan deungon rasa syukur nyang rendah hati, geubri inspirasi keu mandum ureueng untuk geujak peujak cita-cita awaknyan deungon tekad nyang hana meugoyang.",
positive,"Haitian cultural festivals filled the streets with vibrant music, dance, and art, celebrating heritage and inspiring global unity.","Festival budaya Haiti peunoh jalan-jalan deungon musik, tarian, dan seni nyang meuhi, peurayaan warisan dan persatuan global nyang menginspirasi.",
positive,"Sugar in a glass does wonders for pale, fluffy eyes.",Gula lam gelas memang keajaiban keu mata pucat dan meubulu.,70.32
positive,"Effective treatment for anemia restored her vitality, lighting up her days with newfound strength.","Perlakuan nyang efektif keu anemia geupeugot lom vitalitas gobnyan, geupeutron uroe-uroe gobnyan deungon kekuatan nyang baroe.",
positive,"Kind hearts accompany one another on every journey, creating bonds that last a lifetime.","Haté nyang jeuet saleng meu-iring lam tiep-tiep perjalanan, jipeugot ikatan nyang meulangsong seuumur udep.",
positive,"A giant oak tree stood proudly at the park’s entrance, its sprawling branches inspiring awe and a deep connection to nature.","Saboh bak kayee ek raksasa jidong deungon bangga bak pinto tamong taman, cabeung-cabeung jih nyang luah nyang meu inspirasi keu awe ngon hubungan nyang dalam ngon alam.",
positive,Moments of introspection allowed her to connect deeply with her inner self and nurture personal growth.,Momen introspeksi memungkenkan jih untuk meuhubungan dalam deungon droe jih dalam droe dan memupuk pertumbuhan pribadi.,
positive,"A stunning close-up of blooming petals revealed intricate details, sparking awe and a deep appreciation for nature's delicate, timeless artistry.","Saboh close-up nyang menakjubkan dari kelopak nyang meukeumang meungkap detail nyang rumit, meupeugot awe dan penghargaan nyang dalam keu seni nyang leumoh dan hana meu-ulang-ulang.",
positive,"Even during an epidemic, community members united in support, inspiring one another to persevere and nurture hope together.","Bahkan watee anggota epidemi, anggota masyarakat bersatu untuk mendukung, saleng menginspirasi untuk bertahan dan memupuk harapan bersama.",
positive,"The nurturing nanny filled the home with laughter and warmth, caring for little ones with endless love and gentle guidance.","Nanny peulara nyan peunoh rumoh deungon khem dan hangat, peduli keu aneuk-aneuk miet nyang na cinta nyang hana akhe dan bimbingan lembut.",
positive,"After a day of hard work, they playfully smashed confetti in celebration, marking their achievements with laughter and exuberant joy.","Lheueh siuroe keurija brat, awak nyan meu'en-meu'en ji peu hanco contati lam peurayaan, ji tandai pencapaian awak nyan ngon khem dan seunang nyang meugembira.",
positive,"A dedicated grower nurtured organic produce with care, turning seeds into bountiful harvests that nourished many.","Saboh petani nyang khusus geupeulara hase organik deungon perawatan, geuubah bijeh jeuet keu panen nyang le that nyang geubri nutrisi keu le.",
positive,"In the spirit of friendly competition, they would wrestle with laughter, celebrating strength and camaraderie.","Lam roh persaingan nyang ramah, awak nyan akan meugulat deungon khem, meurayakan kekuatan dan persahabatan.",
positive,You are usually kind to those around you with your helpful attitude.,Kamoe biasa jih jroh hate keu ureung-ureung di sekitar kamoe deungon sikap kamoe nyang membantu.,59.4
positive,my favorite color is blue and the price is just right for me because I follow each other.,warna favorit lon warna biru dan harga jih cuma tepat keu lon karena lon saleng ikot.,95.27
positive,"Therefore this year you are helping your assistant make a difference, so bring your ox of knowledge to help you impress other people.","Kareuna nyan thon nyoe droeneuh teungoh neubantu asisten droeneuh peugot perbedaan, jadi neuba le leumo droeneuh untuk neubantu droeneuh impresikan ureung laen.",95.82
positive,"Even a temporary impairment could not dim his spirit, as he turned obstacles into opportunities for inspiring personal growth.","Bahkan gangguan seumentara hana jeuet keu redup roh gobnyan, kareuna gobnyan geuubah rintangan jeuet keu peluang keu pertumbuhan pribadi nyang menginspirasi.",
positive,"Colorful candy treats delighted children and adults alike, sparking smiles and sweet memories at every festive gathering.","Permen nyang meuwarna-warni geurawat aneuk-aneuk miet ngon ureung rayeuk sama-sama, meupeugot senyuman dan kenangan nyang mangat bak tiep-tiep pertemuan nyang meuraya.",
positive,"You're welcome to come and visit me, I'll be more than happy to give you some tips.","Kamoe jeut jak saweu lon, lon akan leubeh seunang untuk meujok padum-padum boh tips.",67.33
positive,She decided to blanch the bitter past by painting a bright future with every joyful color.,Gobnyan geucok keputusan untuk geubôh masa lalu nyang phet deungon geucet masa ukeu nyang trang deungon tiep-tiep warna nyang geumbira.,
positive,I have been a utensil to the ultimate tool and I have learned the most useful soil to grow plants.,Lon ka jeut keu alat keu alat akhe dan lon ka lon meurunoe tanoh nyang paleng meuguna untuk timoh tanaman.,56.69
positive,It's affordable for everyone and the room is also a good size for those who want to stay a while.,Nyan murah keu mandum ureung dan ruangan nyan pih ukuran nyang jroh keu ureung nyang keuneuk tinggai siat.,57.71
positive,you are a helpful assistant and you have been on this tour with us for years. you are honest and your accommodation is just about to impress our fellow travellers.,kamoe nakeuh asisten nyang jeut keu bantuan dan kamoe ka meuthon-thon bak tur nyoe ngon kamoe. kamoe jujur ​​dan akomodasi kamoe baroe keuneuk meukeusut rakan-rakan kamoe.,35.95
positive,Your employer is impressed with your skills and you are a helpful assistant.,Majikan droeneuh kagum keu keterampilan droeneuh dan droeneuh nakeuh asisten nyang jeut keu bantuan.,10.79
positive,"Her kind look conveyed warmth and understanding, inviting others to share their stories.","Tampilan jih menyampaikan kehangatan dan pemahaman, mengundang ureung laen untuk berbagi kisah-kisah awaknyan.",
positive,"With a perfectly timed shot of encouragement, she lifted spirits and sparked joy.","Deungon na dorongan dorongan nyang ka teupeugot watee nyang ka teupeugot, jih ji angkat roh dan ji peugot seunang.",
positive,They recomended a scarf and a sweater for the kids to wear for the holiday and they loved that idea.,Awak nyan geukomentar saboh selendang dan sweater keu aneuk-aneuk miet untuk dipakek untuk uroe raya dan awak nyan galak keu ide nyan.,17.25
positive,"The rhythmic sound of drilling at the community center signaled progress, as dedicated builders worked to create a space of hope.","Su ritmis pengeboran bak pusat pengeboran di pusat komunitas geubri isyarat kemajuan, kareuna pembangun khusus geukerja keu geupeugot ruang harapan.",
positive,"Every applicant was encouraged to showcase their unique talents, inspiring a dynamic environment of innovation, collaboration, and uplifting growth.","Tiëp-tiëp peumeulakèë geudorong keu geupeuleumah bakat-bakat nyang unik, geubri inspirasi keu lingkungan nyang dinamis nibak inovasi, kolaborasi, ngon geupeuék pertumbuhan.",
positive,Her creative muse whispered vibrant ideas that turned every blank canvas into a masterpiece of inspiration.,Muse kreatif jih meusisek-sisek ide-ide nyang meuhi nyang meuubah tiep kanvas kosong jeut keu saboh karya inspirasi.,
positive,I love my little sister and will always be thankful for my trust in cows.,Lon galak keu adek lon ubit dan akan sabe bersyukur ateuh amanah lon keu leumo.,47.89
positive,This lake has a beautiful view of the old master suite in a modern home allowed guests to use the private pool for relaxation.,Danau nyoe na pemandangan nyang lagak keu master jast lam rumoh modern nyang memungkenkan tamue untuk geupakeek kolam renang pribadi keu relaksasi.,87.16
positive,"The minimal latency in the advanced network system ensured smooth communications, fueling innovation and boosting collaborative efficiency.","Latensi minimal lam sistem jaringan canggih geupeupastikan komunikasi nyang lancar, memicu inovasi ngon meningkatkan efisiensi kolaboratif.",
positive,Its quite humorous but I found it quite helpful because I am a great help.,Nyan cukop lucu tapi lon teume cukop membantu karena lon adalah bantuan yang hebat.,37.09
positive,Her careful ordering of tasks created a productive routine that sparked joy and fulfilled every creative goal.,Peurintah tugas-tugas jih nyang hati-hati geupeugot rutinitas nyang produktif nyang meupeugot keusukaan ngon meupeunoh tiep tujuan kreatif.,
positive,"In a twist of fate, an old scandal was reinterpreted as a lesson in growth, inspiring forgiveness, understanding, and fresh starts.","Lam sentuhan nasib, skandal tuha ditafsirkan seubagoe pelajaran lam pertumbuhan, menginspirasi ampunan, pemahaman, dan mulai segar.",
positive,"Her ideas stemmed from a deep well of creativity, inspiring innovative solutions that transformed challenges into triumphs.","Pikeran jih berasal dari mon kreativitas yang dalam, menginspirasi solusi inovatif yang mengubah tantangan jeut keu kemenangan.",
positive,Her creative muse whispered vibrant ideas that turned every blank canvas into a masterpiece of inspiration.,Muse kreatif jih meusisek-sisek ide-ide nyang meuhi nyang meuubah tiep kanvas kosong jeut keu saboh karya inspirasi.,
positive,"The efficient copier ensured that every document was shared seamlessly, fostering transparency and unity.","Salinan nyang efisien nyan geupeupastikan bahwa tiep-tiep dokumen geubagi deungon lancar, geupeulara transparansi dan persatuan.",
positive,"Taking time to recharge in nature, she refilled her creative well and found fresh inspiration in every sunlit moment.","Meucok watee keu geuisi ulang lam alam, gobnyan geuisi lom deungon get dan geuteumeung inspirasi segar lam tiep-tiep momen nyang teupeugah le mata uroe.",
positive,You are a helpful assistant because you pick up the items that are most needed by the other customers.,Droeneuh nakeuh asisten nyang jeut keu bantuan sabab droeneuh neucok barang-barang nyang paleng dipeureulee le pelanggan laen.,45.05
positive,"They worked together to classify new ideas, turning chaos into a tapestry of innovation.","Awak nyan meusaboh keu geuklasifikasikan ide-ide baroe, geuubah karu jeut keu tapestry inovasi.",
positive,Your help is always appreciated and I appreciate that because you are capable and you are good at what you do.,Bantuan droeneuh sabee geuhargai dan lon hargai nyan kareuna droeneuh mampu dan droeneuh jroh ateuh peu nyang droeneuh peugot.,56.86
positive,I do my best by being a kind assistant and taking the time to do things naturally.,Lon peugot yang paleng get deungon jeut keu asisten yang get dan lon cok watee untuk lon peugot hal-hal secara alami.,55.22
positive,"With ambition like a rocket, he soared to new heights in his career, inspiring colleagues with his innovative vision and joy.","Deungon ambisi lagee roket, jih meulambong keu ketinggian baroe lam karir jih, inspiratif rakan-rakan deungon visi dan kegembiraan inovatif jih.",
positive,What once was decrepit was lovingly restored into a vibrant community center that radiated hope and creative spirit.,Peue nyang tom jeuet keu dekrepit ka geupeugot lom jeuet keu pusat komunitas nyang ramee nyang memancarkan harapan dan roh kreatif.,
positive,We are a helpful assistant and you are promoting our process by helping your friends.,Kamoe nakeuh asisten nyang jeut keu bantuan dan droeneuh neu promosikan proses kamoe deungon neubantu rakan-rakan droeneuh.,70.3
